StandardFile,AppType,MSBuild,PreCheckin,Pipeline,Automatable,AutomationNotes
GlobalCodingStandards,WebAppWebApi,Partial,Yes,Yes,Partial,"Naming/simple analyzer rules (nullable usage, async-void, unused usings, one-public-type-per-file) are automatable and cheap enough for MSBuild and pre-checkin. Deeper architecture/SOLID rules (layering, dependency direction) cannot be fully automated - static analysis can only heuristically approximate ""does one thing"" via method-count/complexity thresholds, which produce false positives/negatives. Flag as Add-ManualItem for PR review rather than hard-fail."
GlobalCodingStandards,Database,Partial,Yes,Yes,Partial,Same reasoning as WebAppWebApi. Applies to any C# code in the database solution (e.g. pre/post-deployment scripts written in C#, SQLCLR projects); does not apply to .sql files themselves.
GlobalCodingStandards,ClassLibrary,Partial,Yes,Yes,Partial,"Same reasoning as WebAppWebApi, with added emphasis on public-API-surface stability since SOLID violations at the public surface are harder to correct later without a breaking version bump - still a judgment call requiring Add-ManualItem, not something static analysis resolves alone."
GlobalTestingStandards,WebAppWebApi,No,Yes,Yes,Partial,"Test existence and pass/fail is fully automatable via test-runner exit code; too slow for MSBuild. Whether a change has a ""paired"" test is only a heuristic (source file changed with no test file touched) and can be wrong in either direction (e.g. comment-only change needs no test; a test elsewhere already covers it) - flag for manual confirmation, don't hard-fail."
GlobalTestingStandards,Database,No,Yes,Yes,Partial,"Same automation split as WebAppWebApi. Test existence/pass is checked via the database project's test runner (e.g. tSQLt); the ""paired test"" heuristic is equally unreliable for schema/migration changes and should be Add-ManualItem, not hard-fail."
GlobalTestingStandards,ClassLibrary,No,Yes,Yes,Partial,"Same automation split as WebAppWebApi. For a published package, the ""paired test"" heuristic is weaker still since public-API changes may require new tests in a consumer-facing test suite the diff itself doesn't show - keep as Add-ManualItem."
GlobalSecurityStandards,WebAppWebApi,Partial,Yes,Yes,Partial,"Secret-pattern scanning, missing [Authorize] attributes, and inline-SQL detection are automatable and belong in pre-checkin/pipeline. Cancellation-token-parameter presence is automatable and cheap enough for MSBuild. Whether AuthN/AuthZ is correctly scoped to an endpoint's real sensitivity is a business-context judgment call static analysis cannot verify - Add-ManualItem, not a hard gate."
GlobalSecurityStandards,Database,Partial,Yes,Yes,Partial,"Same split as WebAppWebApi for the AuthN/AuthZ- and cancellation-token-bearing C# code in the solution (e.g. maintenance jobs). Inline-SQL and sensitive-data rules apply directly to .sql files as well as C#, both automatable via pattern scanning; whether a given data element is ""sensitive"" enough to require masking is still a judgment call - Add-ManualItem."
GlobalSecurityStandards,ClassLibrary,Partial,Yes,Yes,Partial,"AuthN/AuthZ sections rarely apply directly (a library does not usually own endpoints) but inline-SQL, sensitive-data, and cancellation-token rules still apply to any C# code the library contains. Same automation split as WebAppWebApi - judgment-based classification stays Add-ManualItem."
GlobalPerformanceStandards,WebAppWebApi,No,No,Yes,Partial,"Existence and pass/fail of a documented perf/load test is automatable but too slow for pre-checkin or MSBuild - pipeline only, likely a separate non-blocking or scheduled stage. Deciding which endpoints require a perf test at all is a judgment call based on expected traffic/criticality and is not automatable - recorded once per endpoint as a manual design decision, not re-derived by tooling."
