StandardFile,TriggerType,Trigger,Notes
GlobalCodingStandards,FileChange,".cs files changed (excluding *.Tests project files)",SOLID/architecture/error-handling/async rules only meaningful when application code itself changed.
GlobalTestingStandards,FileChange,".cs files changed in a *.Tests project OR non-test .cs files changed with no corresponding test file touched",Two triggers: direct test-code rule violations trigger on test file changes; the "tests must accompany code changes" rule triggers off application-code changes with no paired test change.
GlobalSecurityStandards,FileChange,"Section-dependent - see Notes",AuthN/AuthZ sections trigger on controller/endpoint/middleware .cs changes; inline-SQL section triggers on any .cs change containing SQL text; sensitive-data section triggers on .cs/config changes; cancellation-token section triggers on async method signature changes. Requires section-level trigger mapping, not one trigger for the whole file.
GlobalPerformanceStandards,FileChange,".cs files changed in a hot-path/public API surface (ClassLibrary: only if the changed member is publicly exposed)",WebAppWebApi/Database: any .cs change is a candidate. ClassLibrary: only public surface changes matter per its Conditional applicability.
GlobalLoggingStandards,FileChange,".cs files changed that add/modify a hosted service entry point, controller action, or logging call site",Only relevant when code touches the logging/telemetry pipeline itself, not incidental code changes.
GlobalCachingStandards,FileChange,".cs files changed that add/modify Redis distributed-cache usage (cache client calls, cache key construction, expiration policy)","WebAppWebApi only per applicability - the environment uses Redis distributed cache at the application layer, not a database-owned caching layer, so Database repos never trigger this."
GlobalDatabaseStandards,FileChange,".sql files, schema/migration scripts, or database project (.sqlproj) files changed",Only relevant to Database repos per applicability; not triggered by ORM-adjacent .cs changes in WebAppWebApi/ClassLibrary since those are N/A.
GlobalNuGetLibraryStandards,FileChange,".csproj/.nuspec changed, or a public API member added/changed/removed in a published package project",Only relevant to ClassLibrary repos published as a shared package per applicability.
GlobalAzureDevOpsPipelineStandards,FileChange,".azure-pipelines/**/*.yml changed",Triggers only when pipeline definition files themselves change, not when application code changes.
GlobalTypeScriptStandards,FileChange,".ts/.tsx files changed within the SPA client project",Only relevant when the WebAppWebApi repo's front end is specifically a SPA client per applicability; not triggered by .ts files elsewhere in the repo (e.g. build tooling scripts) that are not part of the SPA client.
GlobalReactProjectStandards,FileChange,".tsx/.jsx files or src/features/** changed within the SPA client project",Only relevant when the WebAppWebApi repo's SPA client is specifically built with React per applicability.
GlobalRepositoryStandards,AlwaysOnCommit,"Every commit/PR, regardless of which files changed",Branch-naming pattern (2.2) and direct-commit-to-dev/main guard (2.3) are evaluated from branch state, not file diff content - they apply to every commit attempt, not a specific file type.
GlobalSolutionStructureStandards,AlwaysOnBuildOrPR,"Every build and every PR, regardless of which files changed",Folder-structure/folder-naming checks are a snapshot assertion about the whole repo's shape, not a diff-triggered rule - they must be re-verified on every build/PR even if the specific changed files are unrelated to structure, since an unrelated change could still land inside a non-conforming folder.
