StandardFile,MarkerBase,WebAppWebApi,Database,ClassLibrary,Notes
GlobalCodingStandards,coding,Applies,Applies,Applies,Core application code rules (SOLID/architecture/error-handling/async) apply to any repo that contains C# application code.
GlobalTestingStandards,testing,Applies,Applies,Applies,Testing requirements apply to any repo producing testable code.
GlobalSecurityStandards,security,Applies,Applies,Applies,AuthN/AuthZ sections are Web App/API-specific; inline-SQL/sensitive-data/cancellation-token sections apply broadly. Split at section level in the detailed matrix.
GlobalPerformanceStandards,performance,Applies,Applies,Conditional,Class libraries only need this if they expose operations in the categories requiring perf tests (e.g. published as a package with hot-path APIs).
GlobalLoggingStandards,logging,Applies,Applies,N/A,Structured logging/telemetry/health-endpoint rules assume a hosted application (Web App/API) or a long-running service (Database maintenance jobs). A class library has no logging pipeline of its own; it uses the host's.
GlobalCachingStandards,caching,Applies,N/A,N/A,Caching applies to Web App/API directly (Redis distributed cache). Database repos do not own a caching layer in this environment; distributed caching is handled by Redis at the application layer, not the database. Class libraries have no caching lifecycle of their own.
GlobalDatabaseStandards,database,N/A,Applies,N/A,"Applies only to Database repos. Not applicable to WebAppWebApi or ClassLibrary: (1) no ORM/database-management code is used in those repos, so schema/repository-pattern/stored-procedure/transaction rules never come into play, and (2) this file's rules are scoped to a database solution by design - whether the file's own content exceeds that intended scope is a separate question to revisit later."
GlobalNuGetLibraryStandards,nuget-library,N/A,N/A,Applies,Only applies to Class Library repos that are published/consumed as a shared package.
GlobalAzureDevOpsPipelineStandards,azure-devops-pipeline,Applies,Applies,Applies,Governs how a repo's pipeline is authored, not what the app looks like - applies to any repo with a pipeline (all three types today).
GlobalTypeScriptStandards,typescript,Conditional,N/A,N/A,"Folded under Web App/API per user direction (React/TypeScript are web technologies), but scoped narrower than the whole app type: only applies when the WebAppWebApi repo is specifically a SPA front end (a separate client application, not the API/backend project). A WebAppWebApi repo that is API-only, or a server-rendered app with no SPA client, is N/A."
GlobalReactProjectStandards,react-project,Conditional,N/A,N/A,"Folded under Web App/API per user direction, but scoped narrower than the whole app type: only applies when the WebAppWebApi repo is specifically a SPA front end built with React. A WebAppWebApi repo that is API-only, or a SPA built without React, is N/A."
GlobalFileSpecificationStandards,file-specification,N/A,N/A,N/A,"Its header scopes this file to 'All files in Docs/Standards/ in the GlobalStandards repository' - it governs authoring of standards files themselves and applies only to the GlobalStandards repository's own solution validation, never to an application repository (WebAppWebApi/Database/ClassLibrary). It has no checkable surface in an application repo, including a repository-local Standards/ addendum file: the naming/placement of that addendum file is governed by GlobalRepositoryStandards / GlobalSolutionStructureStandards, not by this file."
GlobalRepositoryStandards,repository,Applies,Applies,Applies,"In scope for this process only in part: feature/hotfix branch-naming pattern (Section 2.2) and the direct-commit-to-dev/main guard (Section 2.3), both checkable from local repo/branch state at commit time. PR-metadata rules (Sections 4.2/4.3) require a PR-time/ADO-API-driven check, not this engine. ADO branch-policy/config rules (auto-complete, merge strategy, required reviewer, carry-forward chain - Sections 4.4-4.7, 6) are Azure DevOps configuration facts, not repo state, and belong to a separate compliance/config-audit check, not this process."
GlobalSolutionStructureStandards,solution-structure,Applies,Applies,Applies,"For this process, scope is narrowed to folder structure and folder naming conventions only: only the folders outlined in the standard for the declared app type should exist (no extraneous folders), required folders for that type must be present, and folder names must follow the standard's naming conventions. Sections 13 (Remediation Paths) and 15 (Governance) are excluded - they are a migration runbook and ownership boilerplate, not checkable state. Other content in this file (config files, .gitignore, namespace/using conventions) is covered by other standards files or is not part of this narrowed scope."
